Question,Réponse,Sujet
Quel est le plus grand pays du monde,russe,Geographie
Quelle est la durée d'une révolution autour du soleil,365,Temps
Quel est l'animal qui vit le plus longtemps,tortue,Animaux
Combien de couleurs y a-t-il sur un drapeau américain,3,Geographie
Quel est le plus grand lac d'Amérique du Nord,superieur,Geographie
Quel est le seul satellite naturel de la Terre,lune,Astronomie
Quel est l'élément chimique avec le symbole Na,sodium,Chimie
Quel est le premier président des États-Unis,georgewashington,Histoire
Quelle est la langue officielle de la Chine,mandarin,Langues
Quel est le plus grand volcan en activité,santelucia,Geographie
Quel est le métal utilisé pour les fils électriques,copper,Chimie
Combien de pays sont membres de l'Union Européenne,27,Geographie
Quel est l'animal qui peut changer de couleur,caméléon,Animaux
Quel est l'organe responsable de la digestion,intestins,Biologie
Quel est l'instrument qui mesure la température,thermomètre,Science
Quel est le sport pratiqué avec un ballon ovale,rugby,Sport
Quel est le plus grand pays d'Afrique,nigeria,Geographie
Qui a découvert la théorie de la relativité,einstein,Histoire
Combien de cordes y a-t-il sur un violon,4,Musique
Quel est l'élément chimique avec le symbole C,charbon,Chimie
Quel est le plus grand désert chaud,arabie,Geographie
Quel est le plus grand animal terrestre,elephant,Animaux
Quelle est la capitale du Japon,tokyo,Geographie
Quel est l'instrument à vent fait de métal,trompette,Musique
Combien de neurones le cerveau humain contient-il,environ86milliards,Biologie
Quel est l'organe qui filtre le sang,foie,Biologie
Quel est le plus grand pays d'Asie,chine,Geographie
Quel est le sport pratiqué sur un court de tennis,tennis,Sport
Quel est le plus grand animal marin,baleine,Animaux
Combien de pays composent le Royaume-Uni,4,Geographie
Qui a inventé le téléphone,alexanderbell,Histoire
Quel est l'élément chimique avec le symbole Cl,chlore,Chimie
Quel est le plus grand lagon du monde,grandebarriere,Geographie
Quel est l'élément chimique avec le symbole Au,or,Chimie
Quel est l'organe responsable de la circulation du sang,coeur,Biologie
Quelle est la distance entre la Terre et le Soleil,150millionkm,Astronomie
Quel est l'organe responsable de la respiration,poumons,Biologie
Quel est le plus grand océan,pacifique,Geographie
Quel est l'instrument qui permet de mesurer la pression atmosphérique,barometre,Science
Quel est le seul métal liquide à température ambiante,mercure,Chimie
Quel est le plus grand continent,asie,Geographie
Quel est l'animal qui a une poche pour ses petits,kangourou,Animaux
Quel est le plus grand lac d'eau douce,superieur,Geographie
Quel est l'élément chimique avec le symbole He,helium,Chimie
Quel est l'organe du corps humain qui produit de l'insuline,pancreas,Biologie
Quel est le plus grand pays d'Amérique du Sud,bresil,Geographie
Quel est l'élément chimique avec le symbole Ag,argent,Chimie
Quel est le plus grand monument historique,pyramide,Geographie
Quel est l'organe responsable de la vue,yeux,Biologie
Quel est le premier homme à marcher sur la Lune,neilarmstrong,Astronomie
Quel est l'élément chimique avec le symbole Fe,fer,Chimie
